comune_ubicazione;denom_struttura;desc;desc_long;indirizzo;logo;num_telefono;mail;sito_web;pagina_arcigay;facebook;twitter;instagram;youtube;other_links
Campania;Arcigay Campania, Coordinamento Regionale Arcigay;;;Vico S. Geronimo, 23, Napoli, 80134 NA, Italia;https://www.arcigay.it/wp-content/uploads/2016/09/arcigay_campania.jpg; 081 552 88 15;campania@arcigay.it;;https://www.arcigay.it/campania/;;;;;
Caserta;Rain Arcigay Caserta, Comitato territoriale Arcigay;Rain Arcigay Caserta onlus è impegnata nella lotta contro ogni forma di discriminazione, odio e pregiudizio connessa all'omofobia, bifobia e transfobia. Per effettuare donazioni il nostro codice IBAN è IT31S0306909606100000149101.;Pagina ufficiale di Rain Arcigay Caserta onlus, che intende promuovere il contrasto all'omo-transfobia, la visibilità ed il rispetto dei diritti civili delle persone LGBTI+(acronimo di: lesbica, gay, bisex, transgender, intersex, queer) e la lotta contro le pretese ed i presupposti del pensiero sessista.;Via Giuseppe Verdi, 15, Caserta, CE, Italia;https://www.arcigay.it/wp-content/uploads/2016/11/LOGO-COLORATO-fondo-bianco.png;8231607485;direttivo@rainarcigaycaserta.it;http://www.rainarcigaycaserta.it/;https://www.arcigay.it/caserta/;https://www.facebook.com/rainarcigaycaserta;https://www.twitter.com/ArcigayCaserta;https://www.instagram.com/arcigaycaserta/;https://www.youtube.com/user/raincaserta;
Castelli Romani;Castelli Romani, Associazione Aderente Arcigay;Il punto di riferimento per la comunitá LGBTIQ+ nella zona dei Castelli Romani, Lazio.;Il punto di riferimento per la comunitá LGBTIQ+ nella zona dei Castelli Romani, Lazio.;;https://www.arcigay.it/wp-content/uploads/2019/03/CASTELLI-ROMANI-LOGO.jpg;;castelliromani@arcigay.it;;https://www.arcigay.it/castelli-romani/;https://www.facebook.com/ArcigayCastelliRomani;;;;
Catania;"Arcigay Catania ""Pegaso LGBT, Comitato territoriale Arcigay";La pagina del Comitato Territoriale Arcigay Pegaso Catania Enna e Caltanissetta;La pagina del Comitato Territoriale Arcigay Pegaso Catania Enna e Caltanissetta;Via della Valeriana, 84, Collina Primosole, CT, Italia;https://www.arcigay.it/wp-content/uploads/2016/05/logo-arcigay-catania-sfondo-bianco.jpeg;;catania@arcigay.it, arcigayctdirettivo@virgilio.it;;https://www.arcigay.it/catania/;https://www.facebook.com/arcigayct, https://www.facebook.com/groups/475056345848421/;;;;
Chieti;Arcigay Chieti, Sylvia Rivera, Comitato territoriale Arcigay;"Pagina ufficiale del comitato Arcigay Chieti ""Sylvia Rivera""";"Sylvia Rivera è il comitato territoriale Arcigay competente per Chieti e la sua provincia. Costituito come comitato promotore quattro anni fa col nome di Triangolo Rosa, opera nella provincia dal 2009 e nel capoluogo da maggio 2012. Il primo congresso, fondativo, è stato celebrato il 28 settembre 2013 a Chieti, nella sede di via Maiella 72, con la partecipazione del Presidente Nazionale Arcigay Flavio Romani.
Perché ‘Sylvia Rivera’. E’ la notte tra il 27 e il 28 giugno 1969, il luogo lo ‘Stonewall Inn’, locale gay nella Christopher Street a New York. Quella che sembrava una retata della polizia come tante altre contro le persone omosessuali e transgender prima di allora si trasforma in pochissimo tempo nella prima grande resistenza per l’autodeterminazione delle persone lgbt. Infatti, quelli che da allora in poi passeranno alla storia come ‘i moti di Stonewall’ prendono immediatamente la piega di una rivalsa attiva e coraggiosa contro i soprusi di una polizia corrotta e legata a una visione manichea e oscurantista della realtà. Tra i protagonisti della nascita del primo grande fermento di orgoglio lgbt c’è proprio Sylvia Rivera, transgender riconosciuta come il simbolo di quei moti e della lotta di liberazione omotransessuale.
Come fondatrici e fondatori del comitato, abbiamo riconosciuto la positività della valenza della figura di Sylvia, delle sue lotte e dei suoi valori e abbiamo deciso di ispirarci in questo modo sia perché crediamo fermamente nel diritto all’autodeterminazione di ciascun* sia perché vogliamo che tutte le lettere della sigla che contrassegna la nostra appartenenza ad Arcigay (associazione lgbt) siano rappresentate, mostrate, difese, determinate in pari modo.
La nostra vision - Noi desideriamo vivere e coltivare un mondo, un paese, un territorio in cui i diritti di tutt* siano pienamente fruibili e fruiti, in cui ciascun* abbia la possibilità di essere ciò che è nato per essere, sviluppando appieno la propria personalità e in cui le differenze individuali (come l’orientamento sessuale, l’identità di genere e l’identità personale) siano un arricchimento nell’esperienza dell’altro e non un ostacolo alla piena espressione di sé.
La nostra mission - Noi ci impegnamo a: ‘creare le condizioni per l’affermazione della piena realizzazione e della piena visibilità di ogni persona gay, lesbica, bisessuale e transgender;
combattere il pregiudizio, le discriminazioni e la violenza in ogni loro forma, anche attraverso la formazione el’aggiornamento dei volontari e delle volontarie, operatori sociali, educatori e insegnanti, lavoratori pubblici e privati;
fornire servizi di supporto socio-psicologico, esistenziale, di promozione della salute, linee di telefono amico, produzione e programmazione culturale;
promuovere la socializzazione delle persone LGBT attraverso attività e strutture aggregative e ricreative;
promuovere una maggiore consapevolezza sui temi dei diritti civili, del superamento del pregiudizio e della lotta alle discriminazioni nell’opinione pubblica tramite l’intervento sui mass media e l’attivazione di propri strumenti e occasioni di informazione;
lottare per l’abolizione di ogni forma di discriminazione normativa relativa all’orientamento sessuale e all’identità ed espressione di genere e per il pieno riconoscimento legale dell’uguaglianza dei diritti delle coppie lesbiche e gay;
essere forza di pressione verso le istituzioni e le forze politiche affinché siano messe in atto buone pratiche antidiscriminatorie, supporti all’azione dell’associazione;
costruire un dialogo e realizzare alleanze con le altre associazioni, i sindacati, le forze sociali e i movimenti al fine di rafforzare la lotta contro le discriminazioni e i pregiudizi e contribuire ad un ampliamento della libertà e dell’uguaglianza di tutti gli individui;
sostenere le azioni e le rivendicazioni delle persone bisessuali e transgender e del movimento delle donne;
promuovere l’inserimento sociale e la valorizzazione delle persone con HIV, favorendone il lavoro e la presenza a tutti i livelli dell’associazione;
combattere le discriminazioni verso le persone affette da malattie sessualmente trasmissibili con particolare riferimento all’HIV;
promuovere una sessualità libera, consapevole e informata. Favorire l’educazione sessuale e la conoscenza e la diffusione delle pratiche di sesso sicuro.’ [1]
I nostri valori - Collettivamente abbiamo deciso di agire nel rispetto di questi valori che fondano l’azione della nostra associazione: ‘il rispetto e la promozione dei diritti umani e civili;
la laicità e la democraticità delle istituzioni; l’inclusione sociale e la serena visibilità di ogni persona e il rifiuto di ogni discriminazione;
il sereno rapporto tra ogni individuo e l’ambiente sociale e naturale; la libertà, l’uguaglianza, la solidarietà, la non violenza, la pace, il rifiuto di ogni totalitarismo; la democrazia interna, la partecipazione delle socie e dei soci alla vita dell’associazione, la trasparenza dei processi decisionali.
Le nostre attività sono completamente volontarie, non hanno finalità di lucro e sono motivate da quanto abbiamo espresso. Il collettivo volontar* di Sylvia Rivera è composto da persone che hanno deciso di lottare per una società più giusta, più libera, più democratica, indipendentemente dalle visioni sociali di orientamento sessuale, identità di genere e altro.
Partecipa anche tu se condividi i nostri scopi! Unisciti a noi!
Il collettivo volontar* di Sylvia Rivera";Viale Maiella, 72, Chieti, CH, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/24177014_881378885369698_6223466101166101465_n.jpg?_nc_cat=105&ccb=2&_nc_sid=09cbfe&_nc_ohc=J5wG-A3_RvoAX-_X8Fe&_nc_ht=scontent-mxp1-1.xx&oh=8c26c18e3145e9677cfe8180d2d56e49&oe=6025330C;;chieti@arcigay.it;http://arcigaychieti.wordpress.com/;https://www.arcigay.it/chieti/;http://www.facebook.com/arcigay.chieti/, https://www.facebook.com/groups/gruppogiovaniarcigaychieti;https://www.twitter.com/ArcigayChieti;;http://www.youtube.com/Arcigay%20Chieti;
Como;Arcigay Como, Associazione Aderente Arcigay;;;Via Alfonso Lissi, 6, Como, CO, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/37888987_1002885686552426_7124783181315702784_o.png?_nc_cat=107&ccb=2&_nc_sid=09cbfe&_nc_ohc=ecr74botdZAAX88FhM2&_nc_ht=scontent-mxp1-1.xx&oh=3c0542083390ae95bc7774e97fa981b4&oe=60245680;;como@arcigay.it;;https://www.arcigay.it/como/;https://www.facebook.com/arcigaycomo;;;;
Cosenza;Arcigay EOS Cosenza, Comitato territoriale Arcigay;La pagina ufficiale del comitato Arcigay di Cosenza www.eoscosenza.com   Mail to: eosarcigaycosenza@gmail;"Arcigay è un’associazione senza scopo di lucro, nata nel 1985, che opera su tutto il territorio nazionale attraverso i suoi comitati locali, i circoli e le associazioni affiliate per la realizzazione dell’uguaglianza tra individui a prescindere dall’orientamento sessuale e dall’identità di genere. È articolata in gruppi di volontariato, i comitati provinciali, composti da persone gay, lesbiche trans e non, volontari e professionisti. È organizzata attraverso una sede nazionale, che coordina le attività di informazione, prevenzione, e difesa dei diritti della comunità lgbt (lesbica, gay, bisessuale e trans) e opera per la crescita e la diffusione delle sedi locali che agiscono a livello regionale, provinciale e cittadino. Arcigay collabora con altre associazioni non governative italiane ed europee e con le principali istituzioni nazionali ed internazionali. La mission Promuovere e tutelare il diritto all’uguaglianza tra ogni persona sia essa gay, bisessuale, lesbica, transessuale o eterosessuale; affermare principi e relazioni di solidarietà; lottare contro ogni forma di violenza e discriminazione dei diritti umani, civili e di cittadinanza delle persone gay, lesbiche, bisessuali e trans. Promuovere la visibilità e la piena partecipazione alla vita sociale e civile delle persone gay, lesbiche, bisessuali e trans. Proporre politiche culturali, sociali, e dibattito intorno alle tematiche dell’omosessualità, del lesbismo e della transessualità. Valori e principi Arcigay crede in una società laica e democratica in cui le libertà individuali e i diritti umani e civili siano riconosciuti, promossi e garantiti senza discriminazioni fondate sull’orientamento sessuale, l’identità di genere e ogni altra condizione personale e sociale e in cui la personalità di ogni individuo possa realizzarsi in un contesto di pace e di sereno rapporto con l’ambiente sociale e naturale. L’associazione è indipendente da qualsiasi governo, ideologia politica, interesse economico o religioso ed è finanziata principalmente dai soci o da donazioni private o pubbliche.";Corso Bernardino Telesio, 98, 87100 Cosenza, CS, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/53199779_2307114162868114_5697695037823909888_n.jpg?_nc_cat=108&ccb=2&_nc_sid=09cbfe&_nc_ohc=NCSNBt5MQj4AX_eBysT&_nc_ht=scontent-mxp1-1.xx&oh=7a10cddb16ee5159b6969743bfe25499&oe=60276E9A;331 874 9954;cosenza@arcigay.it;;https://www.arcigay.it/cosenza/;https://www.facebook.com/eoscosenza/;;;;
Cremona;"Arcigay Cremona ""La Rocca, Comitato territoriale Arcigay";Arcigay Cremona è un'associazione di promozione sociale che si propone come punto di riferimento per lesbiche, gay, bisex, trans e intersex.;"Il Comitato Provinciale Arcigay Cremona è un'associazione di promozione sociale che si propone come punto di riferimento per gay e lesbiche cremonesi e delle province circostanti. 
È un'associazione senza finalità di lucro, ideologicamente libera, apartitica, sovraconfessionale ed indipendente, che si impegna per il bene e per i diritti civili di uomini e donne omosessuali. 
Sono obiettivi del Comitato l’affermazione dell’identità omosessuale e la difesa delle libertà civili e politiche individuali e collettive in genere. 
Promuove iniziative per incoraggiare il coming out, l'emancipazione ed anche la reciproca solidarietà tra omosessuali, condannando ogni atto di omofobia, discriminazione e violenza ai danni delle persone LGBTI.
";Via Cesare Speciano, 4, Cremona, CR, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/113752615_3121182154666218_2265966752612577693_n.png?_nc_cat=102&ccb=2&_nc_sid=09cbfe&_nc_ohc=t6azs_wf41EAX-Nx0oe&_nc_ht=scontent-mxp1-1.xx&oh=9029779615941fcd02e2e78401ec08c5&oe=6024ADE2;;cremona@arcigay.it;http://www.arcigaycremona.it/;https://www.arcigay.it/cremona/;http://www.facebook.com/ArcigayCremona/;https://www.twitter.com/ArcigayCremona;;;
Cuneo;"Arcigay ""Granda Queer"" Cuneo, Comitato territoriale Arcigay";Arcigay Cuneo è una associazione antirazzista, antisessista e antifascista che si batte per l'uguaglianza di tutti e e tutte, per i diritti delle persone LGBT e per il loro benessere.;"Il nome Granda Queer ci è sembrato da subito molto evocativo di ciò che la nostra Associazione vuole essere.
Granda perché la nostra è per appunto la “Provincia Granda”, grande sia nella storia che si porta sulle spalle (la resistenza e la guerra di liberazione) sia come territorio.
Ai nostri giorni questa storia di coraggio e di libertà è portata avanti sotto altri aspetti, dall’integrazione di nuove e diverse culture presenti sul territorio della Provincia tutta, all’inclusione di comunità religiose non cattoliche…
La natura stessa della nostra Provincia però ci pone anche di fronte a numerose sfide, in primis l’estensione territoriale del nostro circolo che copre un’area di quasi 7000 km² in secundis l’assenza di grandi centri urbani, a fronte di una frammentazione del territorio, suddiviso storicamente in 7 aree (Cuneo, Mondovì, Fossano, Savigliano, Brà, Alba, Saluzzo). Questo comporta una notevole complessità dal punto di vista gestionale, in quanto una singola Associazione si trova a doversi confrontare Istituzioni contemporaneamente.
Il termine Queer, invece, ci è parso molto indicativo per far comprendere una delle nostre missioni più importanti, ovvero, usando una parola che per sua natura non classifica e non divide in sottocategorie, vogliamo sottolineare il nostro impegno per la lotta alle discriminazioni.
In questo nome, sono racchiuse da una parte la nostra storia, il nostro territorio, dall’altra le nostre speranze, le battaglie sociali. Il nome Granda
Granda Queer vuole essere un gruppo antirazzista, antisessista, antifascista che si batte per la piena uguaglianza delle persone LGBT, per il loro benessere, per la loro tutela dinanzi ai modelli omofobici più in genere discriminatori, che caratterizzano parte del nostro tessuto sociale.
È una comunità fondata sull’accoglienza, sullo spirito solidaristico e comunitario, che è la radice autentica che l’ha generata.
";Corso Vittorio Emanuele II, 33, Cuneo, CN, Italia;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/29597693_990729671082204_4364200344229500250_n.png?_nc_cat=109&ccb=2&_nc_sid=09cbfe&_nc_ohc=iVgRDqIB_zoAX9oFScz&_nc_ht=scontent-mxp1-1.xx&oh=5e776abdf5a63b66f1e8ce81bb1e75ee&oe=6026D31F;370 312 7750;cuneo@arcigay.it, grandaqueer@gmail.com;http://www.grandaqueer.it/;https://www.arcigay.it/cuneo/;http://www.facebook.com/GrandaQueer-Cuneo-470972119724631/;;;;
Ferrara;Arcigay Ferrara, Comitato territoriale Arcigay;Arcigay Ferrara aps – «Gli Occhiali d'Oro» di Giorgio Bassani;Arcigay Ferrara è un’associazione senza scopo di lucro che opera per la realizzazione dell’uguaglianza tra individui a prescindere dall’orientamento sessuale e dall’identità di genere.;Via Ripagrande, 12, Ferrara, FE, Italia;https://www.arcigay.it/wp-content/uploads/2016/08/logoArcigayFerrara.png;320 0134477;ferrara@arcigay.it;https://arcigay.it/ferrara;https://www.arcigay.it/ferrara/;https://www.facebook.com/arcigayferrara/, https://www.facebook.com/groups/GiovaniFerrara;;http://instagram.com/arcigayferrara;;
Firenze;Arcigay Firenze Altre Sponde, Associazione Aderente Arcigay;Arcigay Firenze Altre Sponde APS;"L'Associazione si è costituità negli ultimi mesi del 2020. Con la nostra attività associativa porteremo avanti, con un atteggiamento sempre proattivo, le istanze della comunità lgbtqia+ attraverso la Cultura (eventi, corsi, spettacoli), la Formazione (rivolta all’interno e all’esterno della comunità), lo Sport (supporto alle realtà esistenti e promozione di eventi) e anche, avvalendoci della rete Nazionale, andando ad attivare tutta una serie di Servizi di supporto e non solo.
Non potrà mancare ciò che ci definisce Comunità, l’aggregazione, vista non in un’ottica escludente, ma come una visione ampia di conoscenza e condivisione, come un mantra che si ripete all’interno di quella che è e sempre sarà Altre sponde.
Per noi, il concetto di inclusione è chiaro e totale, e per questo non vediamo presupposti di confronto con posizioni escludenti verso le persone Trans, la comunità che le circonda e ogni altra soggettività. “Altre Sponde non è solo un gioco di parole, ma una nuova visione di inclusività, dove tutte e tutti potranno sentirsi a casa.” Proprio con questa visione ben chiara nasce Arcigay Firenze Altre Sponde, e con questo ci teniamo a sottolineare la nostra piena intenzione di collaborare con le realtà del territorio per portare avanti le istanze del movimento LGBTQIA+. Siamo una Comunità di Lesbiche, Gay, Bisex, Trans*, Queer, Intersex, Asex & +. Organiziamo eventi, cultura, progetti, servizi e socializzazione. ";;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/138782996_138034968129898_5681472976625825120_o.png?_nc_cat=108&ccb=2&_nc_sid=09cbfe&_nc_ohc=QLmsSUcGl2gAX9G-8d-&_nc_ht=scontent-mxp1-1.xx&oh=ec9a9e0120a7831c5043c884545b2095&oe=6025F67D;3534188291;info@arcigayfirenze.it;https://www.arcigayfirenze.it/;https://www.arcigay.it/firenze/;https://www.facebook.com/arcigayFi/;;;;
Foggia;"Arcigay Foggia ""Le Bigotte, Comitato territoriale Arcigay";Comitato Provinciale Arcigay Foggia;"Comitato Provinciale Arcigay Foggia Presidente: Alice Rizzi
Presidente Onorario: Paolo Patanè
Contatti:
foggia@arcigay.it
arcigayfoggialebigotte@gmail.com
";;https://scontent-mxp1-1.xx.fbcdn.net/v/t1.0-9/87689628_2762505910514600_3123552293576769536_n.jpg?_nc_cat=100&ccb=2&_nc_sid=09cbfe&_nc_ohc=c7xAb76OXeoAX_Wp_wA&_nc_ht=scontent-mxp1-1.xx&oh=6258cc93e9fa61665d3a8b20741ea2b7&oe=6025720E, https://www.arcigay.it/wp-content/uploads/arcigayfoggia-1.jpg;;foggia@arcigay.it, arcigay.foggia@gmail.com;http://arcigayfoggia.altervista.com/;https://www.arcigay.it/foggia/;http://www.facebook.com/ArcigayFoggiaLeBigotte/;;;;
Frosinone;Frosinone, Associazione Aderente Arcigay;"Stonewall Frosinone nasce successivamente alla quarta edizione del Lazio Pride 2019, svoltosi a Frosinone. 
Punto di riferimento per la comunità LGBT+ ciociara e della provincia di Frosinone, è affiliata Arcigay.";;Viale Giuseppe Mazzini, 25, Frosinone, FR, Italia;https://www.arcigay.it/wp-content/uploads/2020/07/index.jpg;;frosinone@arcigay.it;;https://www.arcigay.it/frosinone/;https://www.facebook.com/arcigayfrosinone;;;;
