id,nome,indirizzo,orario,telefono,sito_web,commenti,forum,posizione/type,posizione/coordinate/0,posizione/coordinate/1,verificato/nome,verificato/link,description,Orari di apertura,Orario, telefono,Orario di visita,e-mail
OfIjJlB,Antica Farmacia Salucci," Via Libertà 50, 00018 Palombara Sabina (RM)", mar-ven 9:00-20:00, 0774635662, , (2018) Ci siamo andati a causa di un preservativo rotto e non ci sono stati problemi per richiedere l'EllaOne. Sono stati gentili e riservati.,,Point,12.765995264053347,42.0680837751539,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
gkHTbWg,Antica Farmacia San Francesco," Via di S. Francesco a Ripa 131, 00153 Roma (RM)", lun-ven 08:30-13:00 16:00-19:30 sab 08:30-13:00 dom Chiuso, 065812438, ," La dottoressa è stata gentilissima, professionale e mi ha fornito senza problemi la pillola del giorno dopo.",,Point,12.471917867660522,41.886883497409805,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
7WQlmQI,Antica Farmacia Sansoni," Piazza Giuseppe Mazzini, 54, Pescia PT"," da lunedì a venerdì 24h
sabato 08–13 /15–21
domenica chiuso", 0572 490092,," Mi sono recata in quella farmacia, che in quel momento era l'unica di turno, e, dopo aver spiegato cosa era successo, mi hanno dato la pillola del giorno dopo senza nessun problema!",,Point,10.688441991806032,43.90309509221432,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
c7fwdQC,Farcom Farmacia Comunale," Viale A. de Gasperi, 39, 20060 Gessate MI"," da lunedì a venerdì: 9.00- 19.30
sabato: 8.30-12.30 / 15.00-19.30
domenica: chiuso", 02 9538 3806," Segnalazione del 2019. Distribuisce la pillola del giorno dopo senza storie, cercando di dare informazioni sull'uso.
 una delle dottoresse mi ha confessato che secondo loro l'obiezione di coscienza non è ammissibile nel loro lavoro .",,,Point,9.436419010162355,45.54790085746997,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
JgIaZmz,Farmacia Achille," Via Papa Giovanni XXIII 96, 24054 Calcio (BG)", lun-ven 08:00-19:30 sab 08:00-12:30 15:00-19:00 dom Chiuso, 0363906486, https://www.farmaciachille.it/index.htm," Da un'inchiesta del Giornale di Treviglio, risulta che la farmacia ha fornito la pillola Norlevo senza problemi.",,Point,9.849752783775331,45.50714391928411,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
B9pqQWN,Farmacia Ai Carmini," Via Francesco Petrarca, Vicolo Ponte Molino 12, 35137 Padova (PD)", lun-ven 08:00-19:30 sab 8:00-13:00 15:00-19:30 dom Chiuso, 0498751424,," (2019)  La farmacista è stata molto disponibile e dopo avermi chiesto se ero maggiorenne mi ha detto che potevo prenderla, che lei è a favore, consigliandomi di usarla solo in caso di emergenza, appunto, per paura che la prendessi come contraccettivo abitualmente. Comunque è stata gentile e mi ha spiegato i due tipi di pillola e avvertita che la Norlevo era più efficace entro le 12 ore.",,Point,11.873871088027954,45.41243040685833,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
QaKogkf,Farmacia Ai Colli," Piazza di Porta Castiglione 15, 40136 Bologna (BO)", lun-ven 8:30-20:30 sab 9:00-19:00 dom 09:00-13:00, 051333300, http://www.farmacia.bologna.it/," (2018) Entro nella farmacia, parlo con una signora, gli spiego che ho sbagliato con la pillola in questi giorni, che vorrei sapere se è un problema perché c'è un rischio dato che ho avuto un rapporto non protetto col mio ragazzo. Sembra confusa con tutte le date e giorni che gli ho dato e così chiama il suo collega, un uomo. Provo a spiegargli di nuovo la situazione con un po' meno di dettagli, chiedendogli la pillola del giorno dopo. L'uomo mi dice ""quindi hai avuto un rapporto sessuale non protetto sapendo che non eri protetta? Perché hai fatto questo?"" con un tono di voce proprio paternalistico. Mi guarda come se fossi l'ultima delle stupide. Gli chiedo se posso avere la pillola e ripete una frase del genere per continuare a farmi venire il senso di colpa. 
(2019) Dopo la mia richiesta il farmacista mi ha solamente chiesto in maniera molto discreta quanto tempo fosse passato dal rapporto e se fossi maggiorenne. È stato molto gentile.",,Point,11.348394155502321,44.48509770843569,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
Vz6xZNJ,Farmacia Ai Due Lucci,"  Via Guido Brunner 14, 34125 Trieste (TS)", lun-sab 8:00-22:00 dom 09:00-22:00, 040764943,," (2017) La scorsa settimana ho dovuto prendere la pillola del giorno dopo per la prima volta. Il farmacista è stato gentile, professionale, discreto e premuroso, oltre ad aver dato a me e al mio ragazzo tutte le informazioni necessarie sull'assunzione. Assolutamente consigliata se avete bisogno della pillola del giorno dopo.
(2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo ",,Point,13.78239154815674,45.650599616375224,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
7XTaSly,Farmacia Ai Due Mori," Via Capo Di Piazza Monsignor Santin 2, 34121 Trieste (TS)", lun-ven 8:30-19:30 sab 9:30-13:00, 040365840, http://farmaciaaiduemori.it/it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.768014907836916,45.64927588589991,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
06IYwbA,Farmacia Al Redentore," Via Generale A. Dalla Chiesa 2, 36030 Sarcedo (VI)", 24h, 0445884040, ," Danno la pillola del giorno dodo senza problemi, tutte le mie amiche che hanno dovuto prenderla sono andate lì",,Point,11.531578302383423,45.699971524620885,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
npIIPgg,Farmacia Al Redentore," Via di Cavana 1, 34121 Trieste (TS)", lun-sab 8:30-14:00 16:00-20:00 dom Chiuso, 040300940, http://www.farmaciaalredentore.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.76664161682129,45.648203378777474,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
nJWWtqZ,Farmacia Alberani," Via Farini, 19, 40124 Bologna, Italia"," lun-ven 08:30–13:00, 15:30–19:30
                                     sab 08:30–13:00", +39 051 224573, www.facebook.com/farmaciaalberani/," ""Mi è stata chiesta la carta d'identità e subito dopo mi hanno venduto la pillola senza problemi.""",,Point,11.346645355224611,44.491232309510124,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
SYHiPxu,Farmacia Alfidi," Via Cavalieri di Vittorio Veneto 8, 67051 Avezzano (AQ)", lun-sab 09:00-13:00 16:00-20:00 dom Chiuso, 0863411120 ,, (2014) Ha rifiutato la pillola del giorno dopo a una ragazza di 19 anni adducendo come motivazione del rifiuto un rischio di trombosi,,Point,13.421366214752199,42.04208218516779,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
Qh85svq,Farmacia Alfieri," Piazza Vittorio Alfieri 3, 14100 Asti (AT)", lun-sab 8:30-13:00 15:00-19:30 mer 8:00-19:30 dom Chiuso, 0141594605 , https://farmaciaalfieri.business.site/?fbclid=IwAR1vfIlA2mJZ49B1j_7Q61IZuVJogLkNBJgN5dLc9hNHQ1FUXFax8Y2pWxY," (2007) Mi ci sono recata diversi anni fa per comprare la pillola del giorno dopo, dato che in un'altra farmacia mi avevano detto che ""non trattavano quel prodotto"". La farmacista mi ha rivolto uno sguardo un po' freddo, ma non ha commentato e ho potuto acquistare la pillola. ",,Point,8.207125067710878,44.90079972761889,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
8XkinwS,Farmacia Algostino e Demichelis," Piazza Vittorio Veneto, 10, 10123 Torino"," lun-sab 09:00-12:30, 15:00-19:30", 011 814 1495,," I gestori si rifiutano di vendere  anticoncezionali e hanno un atteggiamento non solo bigotto e ignorante  ma anche molto aggressivo.  L'esperienza non è solo personale, ma una prassi.",,Point,7.693900465965272,45.06510607113342,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
4ITrCfo,Farmacia All'Alabarda," Via dell'Istria 18, 34137 Trieste (TS)", lun-sab 08:30-13:00 16:00-19:30 dom Chiuso, 0407606477, http://www.farmaciaalabarda.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.781431317329409,45.641681643414806,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
DY85c6D,Farmacia All'Amazzone Trionfante," Via Giulia 14, 34126 Trieste (TS)", lun-ven 8:30-19:30 sab 8:30-13:00 dom Chiuso, 040572015, http://farmaciaamazzone.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.787444829940798,45.65421065402478,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
HpEFmrD,Farmacia All'Angelo d'Oro," Via Silvio Pellico 1, 34122 Trieste (TS)", lun-ven 08:30-13:30 15:30-19:30 sab 09:30-13:00 dom Chiuso, 040634144,," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.776555061340334,45.64942213528005,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
S4oCtHp,Farmacia All'Annunziata - Dr. Giordani Giorgio,"  Piazza Giuseppe Verdi, 6, 33019 Tricesimo UD","
Lunedì: 08:30 -12:30 	15:00-19:30
Martedì: 08:30-12:30 15:00-19:30
Mercoledì: 08:30-12:30 15:00-19:30
Giovedì: 08:30-12:30 	15:00	-19:30
Venerdì: 08:30-12:30 15:00-19:30
Sabato: 08:30-12:30 15:00-19:30
Domenica: Chiuso	", 0432 851190, /, Disponibile sia pillola del giorno dopo che dei 5 giorni dopo,,Point,13.215045332908632,46.159293878723226,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
nSOdX7e,Farmacia All'Aquila Imperiale," Via Tor San Piero 2, 34135 Trieste (TS)", lun-ven 8:30-12:30 15:00-19:00 sab-dom Chiuso, 040421040, ," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.771603703498842,45.66152950931263,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
14izQXv,Farmacia All'Igea," Piazza Matteotti, Latisana (UD)","
lunedì 08:30–12:30 15:30–19:30
martedì 08:30–12:30 15:30–19:30
mercoledì 08:30–12:30 15:30–19:30
giovedì 08:30–12:30 15:30–19:30
venerdì 08:30–12:30 15:30–19:30
sabato Chiuso
domenica Chiuso", 0431 521600, www.farmaciaalligea.it, Vende la pillola dei 5 giorni dopo [EllaOne],,Point,12.995313405990602,45.777749086546535,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
hMJhIQq,Farmacia All'Igea," Via della Ginnastica 6, 34125 Trieste (TS)", lun-sab 08:30-19:30 dom Chiuso , 040772148, http://www.farmaciaigeatrieste.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.778711557388307,45.65035962223693,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
yXjPM4q,Farmacia all'Università," Viale G. Marconi, 9, 24044 Dalmine BG"," lunedì a venerdì: 08:30–13 14–19:30
sabato 15–19
domenica Chiuso", 035 564103,," segnalazione del 2019.  Sono stata trattata con massima serietà e umanità dalla farmacista, che mi ha consigliato la cosa migliore da fare. Non è facile trovare qualcuno che sappia supportarti in un momento di panico, perché così è.",,Point,9.595195055007936,45.647903373109635,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
gJFHVoO,Farmacia Alla Cerva D'Oro," Fondamenta Briati 2384, 30123 Venezia (VE)", lun-ven 9:00-12:30 15:45-19:30 sab 9:00-12:45 dom Chiuso, 0415246565, , Vendono la pillola del giorno dopo.,,Point,12.31971323490143,45.43318375771689,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
VOvDMN3,Farmacia alla Croce Azzurra," Via Commerciale 21, 34134 Trieste (TS)", lun-ven 8:30-13:00 16:00-19:30 sab 8:30-13:00 dom Chiuso , 040421121, https://farmaciacroceazzurra.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.776308298110964,45.65796393650651,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
MeJAJGt,Farmacia alla Fontana Imperiale," Via dei Piccardi 16, 34141 Trieste (TS)", lun-sab 08:30-13:00 16:00-19:30, 040633050, http://www.fontanaimperiale.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.787208795547487,45.64667333307243,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
1ct98F5,Farmacia alla Maddalena," Via dell'Istria 33, 34137 Trieste (TS)", lun-sab 9:00-13:00 16:00-19:30 dom Chiuso, 040638454, https://farmaciamaddalena.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia non è provvista della pillola del giorno dopo",,Point,13.782927989959719,45.640117664168784,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
XnhMm2M,Farmacia alla Madonna," Via Schio 75, San Vito Di Leguzzano (VI) 36030", lun-ven 09:00-12:30 15:30-19:30 sab 09:00-12:30, 0445672455, , pillola del giorno dopo avuta senza problemi in via precauzionale,,Point,11.372877359390259,45.6897236525507,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
ciQQ3m5,Farmacia Alla Madonna," Via Giannantonio Manci, 42, 38122 Trento (TN)", lun-sab 8:30-12:30; 15-19, 0461982584,," Per la prima volta in vita mia ho avuto bisogno di prendere la pillola del giorno dopo a causa del preservativo che si è sfilato. Mi sono recata presso tale farmacia dove una farmacista mi ha dato subito ciò che avevo chiesto, dandomi indicazioni su modalità di assunzione e  effetti collaterali e semplicemente raccomandandomi di non utilizzarla come metodo contraccettivo abituale. ",,Point,11.123072504997255,46.06979929316023,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
xFOvcFn,Farmacia Alla Madonna del Mare," Largo Piave 2, 34133 Trieste (TS)", lun-ven 08:30-19:30 sab 08:30-13:00 dom Chiuso, 040361655,  http://www.farmaciaallamadonnadelmare.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.778175115585329,45.65386193468883,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
xSCaCtd,Farmacia Alla Marina," Corso Giacomo Matteotti 15, 16011 Arenzano (GE)", lun-sab  08:30-12:30 15:30-19:30 dom Chiuso, 0109127006,, Si fornisce la pillola del giorno dopo con discrezione e gentilezza.,,Point,8.686092495918276,44.40446138214468,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
swfSlEk,Farmacia Alla Minerva," Piazza Virgilio Giotti 1, 34133 Trieste (TS)", lun-ven 08:30-13:00 16:00-20:30 sab 08:30-13:00, 040635264, http://www.farmaciaminerva.it/index.asp," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.779956102371218,45.6537231962847,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
9iYBvqf,Farmacia Alla Pace," Viale della Pace 117, 36100 Vicenza (VI)", lun-ven 08:15-19:30 sab 08:15-13:00 15:30-19:00 dom Chiuso , 0444500423, https://www.farmaciaallapace.it/," (2020) Ho chiesto discrezione alla farmacista e lei mi ha fatto accomodare dietro il bancone, poi le ho chiesto la pillola del giorno dopo. Mi sono state illustrate le diverse possibilità e mi è stata consigliata quella che faceva al caso mio, con estrema gentilezza e tranquillizzandomi.",,Point,11.572186946868896,45.54275008956299,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
iUwVT9c,Farmacia alla Redenzione," Piazza Giuseppe Garibaldi 6, 34131 Trieste (TS)", lun-sab 8:30-20:30 dom 9:00-19:30, 040368647, http://www.farmaciaredenzione.it/," (2018) (1) Avendo bisogno della pillola del giorno dopo in un giorno festivo ho prima chiamato la farmacia per verificare che fosse aperta e che il farmaco fosse disponibile: la risposta affermativa della farmacista è stata concisa ma cordiale. Mi ci sono quindi recata, anche se in prossimità dell'orario di chiusura, e il farmacista che mi ha servita è stato davvero professionale: essendo senza prescrizione medica, mi ha chiesto un documento per verificare la maggiore età e si è accertato che non fossero trascorse le 72 ore, dopodiché si è premurato di chiedermi se l'avessi già assunta e se sapessi come farlo e mi ha illustrato i possibili effetti collaterali consigliandomi alcuni rimedi per contrastare i più diffusi.
(2) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.78037452697754,45.645795788000946,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
b4uycZn,Farmacia Alla Salute," Via Giulia 1, 34126 Trieste (TS)", lun-sab 8:30-19:30 dom Chiuso, 040635368, http://farmaciaallasalutetrieste.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.78235399723053,45.65332947732026,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
B93AwTq,Farmacia Alla Stazione Nord - Dr. Fabio Canali," Viale G. Garibaldi, 3, 34077 Ronchi dei Legionari GO","  da lunedì a sabato :08:30–12:30 15:30–19:30
domenica chiuso", 0481 777446, ,  mi ha venduto senza problemi la pillola del giorno dopo. volevo inoltre segnalare la cordialità e la sensibilità del farmacista che mi ha servita. ,,Point,13.505094051361084,45.83145687199762,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
hFqQphg,Farmacia Altura," Via delle Alpi Giulie 2, 34149 Trieste (TS)", lun-sab 8:30-13:00 16:00-19:30 dom Chiuso, 040828428, https://www.farmacia-altura.it/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.818386793136598,45.627296639640186,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
1yCJXjY,Farmacia Ambrosiana," Viale Regina Giovanna 42, 20129 Milano (MI)", lun-ven 08:30-19:45 sab 09:00-13:00 dom Chiuso, 02201698, http://www.farmaciaambrosiana.it/index.asp," Mi hanno dato senza alcun problema EllaOne (senza ricetta) e il farmacista ha speso parecchio tempo per tranquillizzarmi e darmi indicazioni, facendo anche ricerche incrociate sui miei farmaci in uso. Grande professionalità e tanta umanità, non mi sono sentita mai giudicata anche per le domande più stupide!
Consigliata in caso di emergenza.",,Point,9.214278459548952,45.47302746452236,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
odsGBbR,Farmacia Amendola," Piazza Giovanni Amendola 14, 90141 Palermo (PA)", lun-sab 08:00-20:00 dom Chiuso , 091333923, http://www.farmaciaamendola.it/," (2019) Ieri sera mentre il dottore si stava occupando dei farmaci che dovevo acquistare io, una ragazza ha chiesto la EllaOne, ossia un ""pillola dei 5 giorni"". Le è stata fornita immediatamente, la farmacista le ha solo chiesto se voleva lo scontrino parlante in modo da scaricarne la spesa e non ho notato neanche l'ombra di problemi o di giudizi inopportuni. Sono stata contenta di aver assistito ad un episodio che dovrebbe ripetersi allo stesso modo su tutto il territorio nazionale.",,Point,13.351778984069826,38.12207437294877,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
c9iClGk,Farmacia Andreoli," Piazza Carlo Leoni 13, 35030, Selvazzano Dentro (PD)", lun-ven  09:00-12:30 15:45-19:00 sab 09:00-12:45 dom Chiuso, 0498976407, ," Sono entrata per prendere la pillola del giorno dopo e, invece di vendermela, la farmacista mi ha fatto un lungo discorso per scoraggiarmi a prenderla, dicendomi pure che era meglio aspettare (sbagliatissimo!) prima di prenderla e rifletterci sopra.",,Point,11.812791824340822,45.41438859605398,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
yeGDJNw,Farmacia Antonone," Via Milano 54, 81020 San Nicola La Strada (CE)", lun-ven 08:30-13:30 15:30-20:30 sab 08:30-13:30 16:00-20:00 dom Chiuso, 0823457403,, (2020) Vendono tranquillamente la pillola del giorno dopo e sono molto disponibili nel rispondere a domande riguardo alla loro assunzione.,,Point,14.33014690876007,41.04880603558486,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
PoaxlXc,Farmacia Arbatax," Via Lungomare 20, 08048 Arbatax (OG)", lun-sab 08:30-13:30 16:00-20:00 dom 09:00-12:30 16:00-19:30, 0782667780,," (2018) Domenica sera ho richiesto di acquistare la pillola Ellaone, che in seguito alla richiesta di mostrare un documento che attestasse la maggiore età mi è stata immediatamente venduta.",,Point,9.70547139644623,39.93484431524228,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
LHb1h5F,Farmacia Ateneo," Piazza Ateneo Salesiano 48/49, 00139 Roma (RM) ", lun-sab 08:00-22:00 dom 9:00-14:00 16:30-20:30, 0687131474, http://www.farmaciegallotta.it/farmacia-ateneo/," (2) Settembre 2019 -  Ho quasi 30 anni quindi non mi è stato ovviamente chiesto il documento. Alla mia richiesta della EllaOne, la farmacista è stata gentilissima e disponibile, spiegandomi le modalità di assunzione con precisione e professionalità.
(1) Entro con la ricetta valida per l'acquisto di due scatole di cerotti Evra. A questa richiesta, il farmacista mi risponde che me ne poteva vendere solo una e che avrebbe dovuto trattenere la ricetta perché la normativa per le scatole da 3 pezzi prevedeva l'utilizzo della ricetta una sola volta.",,Point,12.524623274803163,41.959442229989996,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
TNiHbri,Farmacia Baiamonti," Via Antonio Baiamonti 52, 34145 Trieste (TS)", lun-ven 08:30-13:00 16:00-19:30 sab 08:30-13:00 dom Chiuso, 0403419514, https://farmacia-baiamonti.business.site/," (2018) Da una mappatura effettuata da Non Una di Meno - Trieste, risulta che la farmacia è provvista della pillola del giorno dopo",,Point,13.78790616989136,45.630185189594805,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
za33LGS,Farmacia Baldacci Giovanni Nico,, Lun-ven 9-13 15:30-19:30 , 050-24497,, vende la pillola del giorno dopo,,Point,10.399165749549867,43.709807690822586,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
LmTjVD1,Farmacia Balderi dott. Matteo ," 
Via Napoleone Colajanni, 8, 43126 Parma PR","
lunedì 08:15–21
martedì 08:15–21
mercoledì 08:15–21
giovedì 08:15–21
venerdì 08:15–21
sabato 08:15–21
domenica 08:15–21",  0521 980628,  farmaciacrocetta.it, Ha disponibile la pillola del giorno dopo e non ha problemi ad ordinare quella dei cinque giorni.,,Point,10.292789340019228,44.80964309673512,Obiezione Respinta,https://obiezionerespinta.info/,,,,,,
