centro,nome,tipo,indirizzo,telefono,mod_prenotazione,orario,counseling,referto,responsabile_update,verificato/nome,verificato/link,orario_telefono,note
Centro test e Counselling,Azienda USL di Reggio Emilia,SERT,"Via Circonvallazione, 29 - Guastalla(RE)",0522 837780 - 0522 837787,Appuntamento telefonico,lun-ven 8.30-09.15,Pre - Test Post - Test,"Dopo 7 giorni, consegnato lun, mer, gio ore 9.00 - 13.00",Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-ven 8.30-13.30 mar 14.30-17.00 sab 8.30-13.00,
Centro test e Counselling,Azienda USL di Reggio Emilia,SERTc / o Casa della Salute“ L.Spreafico”,"Via G.Saragat, 11 - Montecchio(RE)",0522 860193,Accesso diretto,martedì e giovedì ore 8.30-13.30,Pre - Test Post - Test,Dopo 7 giorni,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,lun-ven 8.30-13.30 sab 8.30-12.00,
Ambulatorio PrEP,Azienda USL di Piacenza,Presidio Ospedaliero G.da SalicetoAmbulatorio di Malattie Infettive,"Via Cantone del Cristo, 1 - Piacenza(PC)",0523 303657,Telefonica al numero: 0523 303657,VENERDI’ dalle h 15.00 alle h 16.00 per 2 accessi/settimanali previa prenotazione,,,Alessandro Ruggieri - Coordinatore gruppo provinciale AIDS Piacenza,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,AOU Parma,Ospedale Maggiore Ambulatorio Malattie Infettive Torre 1 delle Medicine(2° piano),"Via Gramsci, 14 - Parma(PR)",Per e - Mail: ambulatorioprep @ao.pr.it,Tramite,"(visite) Giovedì: orario 14-15,30 per un totale di tre accessi a giornata previa prenotazione",,,Anna Degli Antoni - U.O.Malattie Infettive - Parma,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,Azienda USL di Reggio Emilia,Arcispedale S.Maria Nuova Spazio salute Sessuale - Padiglione Malattie Infettive,Vle Risorgimento 80 - Reggio Emilia(RE),0522296456– 0522296823,da Lunedì a Sabato ore 10 - 12.30;Lunedì e Giovedì ore 15 - 17,da Lunedì a sabato ore 9.00-11.30; Lunedì e Giovedì ore 14.00 - 17.00,,,Giuliana Zoboli - Coordinatore gruppo provinciale AIDS Reggio Emilia,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,AOU Modena,Policlinico di Modena,,,,,,,,HelpAIDS,http://www.helpaids.it/dove,,
"Ambulatorio PrEP, ingresso 31",,,"Via del Pozzo,71 - Modena(MO)",059 4222120 - 059 4222827,Tramite prenotazione telefonica dal lunedi al venerdì dalle 8.00 alle 13.00.Martedi mattina dalle 11.00 alle 13.00 prime visite e giovedì 15.00– 17.00 controlli.,,,,Silvana Borsari - Coordinatore Gruppo provinciale AIDS Modena,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,"Azienda Ospedaliera Universitaria di Bologna,Policlinico Sant 'Orsola-Malpighi",,,,,,,,,HelpAIDS,http://www.helpaids.it/dove,,
"Ambulatorio PrEP presso l’ Ambulatorio n .4 Ambulatori Malattie Infettive,Padiglione n .1(Malpighi Palagi),terzo piano",,,"Via Palagi,9 - Bologna(BO)",,"Dal lunedì al venerdì,dalle ore 12 alle ore 13 presso l’ Ambulatorio n .4 Accesso diretto senza prenotazione",,,,Calza Leonardo - Coordinamento gruppo provinciale AIDS Bologna alt =,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,AOU di Ferrara,Nuovo Ospedale Sant 'Anna di ConaAmbulatorio Malattie Infettive Ingresso 2 - Settore 1E0,Via Aldo Moro 8 - Ferrara(FE),,Martedì e giovedì orario 11.00 - 13 .00 La prenotazione dell’ accesso: infohiv @ospfe.it,,,,Laura Sighinolfi - Coordinatore gruppo provinciale AIDS Ferrara,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,Azienda USL della Romagna,Ospedale S.Maria delle CrociAmbulatorio Malattie Infettive,"Viale Randi,5 - Ravenna(RA)",0544 285538,Prenotazione telefonica della visita presso Accettazione ambulatoriale dell 'UO Malattie Infettive,,,,Bassi Paolo - Direttore U.O.Malattie Infettive,HelpAIDS,http://www.helpaids.it/dove,,
Ambulatorio PrEP,Azienda USL della Romagna,"Ospedale""Infermi""di RiminiDay Hospital Malattie Infettive","Via Settembrini,2 - Rimini(RN)",0541 705366,Accesso diretto senza richiesta del curante previo appuntamento telefonico allo 0541705366 dalle 9 alle 18 dal lunedi al venerdì.,,,,Boschi Andrea - Coordinamento gruppo AIDS Romagna,HelpAIDS,http://www.helpaids.it/dove,,
Centro test e Counselling,BLQ Checkpoint,Centro community based in convenzione con l 'Azienda USL di Bologna,"Via San Carlo,42 / c - Bologna(BO)",051 4211857,Telefonica durante gli orari di apertura oppure tramite la mail: prenota @blqcheckpoint.it,Martedì e giovedì ore 18.00 - 21.00,Pre - Test Post - Test,Dopo 20 minuti,BLQ Checkpoint,HelpAIDS,http://www.helpaids.it/dove,,Test rapido per HIV a prelievo capillare Test rapido per HCV salivare.Test Alere Determine per sifilide
Centro test e Counselling,Azienda USL di Imola,Ospedale Nuovo– Laboratorio analisi,"Via Montericco,4 - Imola(BO)",verde Aids 800 856 080,Accesso diretto -,Dal lunedi al sabato dalle 9 alle 10 presso il Centro Prelievi Ospedale Vecchio,Pre - Test Post - Test,Dopo 7 giorni,Alessandra Govoni - Coordinatore Gruppo AIDS Imola,HelpAIDS,http://www.helpaids.it/dove,,Accesso libero in anonimato
