nome,indirizzo,tipo_struttura,legal,cellulare,email,orario_servizi,referente/0,servizi/0/nome,servizi/0/figure_presenti,servizi/0/costo,servizi/0/tempistiche,servizi/1/nome,servizi/1/figure_presenti,servizi/1/costo,servizi/1/tempistiche,linee_guida,regione,referente/1,referente/2,servizi/1/servizi_offerti,servizi/2/nome,servizi/2/figure_presenti,servizi/2/costo,servizi/2/tempistiche,servizi/3/nome,servizi/3/figure_presenti,servizi/3/costo,servizi/3/tempistiche,servizi/4/nome,servizi/4/figure_presenti,servizi/4/costo,servizi/4/tempistiche,note
Collettivo Ugualmente,"Frosinone (FR) - Corso della Repubblica, 48/52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatorio di Endocrinologia e Andrologia - SMIC 08 - AOU Policlinico Umberto I ,"Roma(RM) - Viale del Policlinico, 155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associazione di Volontariato Libellula,"Roma (RM) - Viale Giustiniano Imperatore, 280/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azione Trans ,"Roma(RM) - Via Nicola Zabaglia, 14 66 '",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEST - Centro Salute Trans e Gender Variant ,"Roma(RM) - Via Monte Santo, 7 31 '",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Circolo di Cultura Omosessuale""Mario Mieli""","Roma(RM) - Via Efeso, 2 A ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gay Center,"Roma (RM) - Via Nicola Zabaglia, 14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender X ,"Roma(RM) - Via Tiberina, 82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Servizio per l' Adeguamento tra l 'Identità Fisica e l' Identità Psichica(SAIFIP), Azienda Ospedaliera San Camillo - Forlanini ","Roma(RM) - Circonvallazione Gianicolense, 87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L' Altro circolo– Centro culturale di iniziativa Omosessuale– Sportello Trans ,"Viterbo(VT) - Via Igino Garbini, 51 / A ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Liguria 77 ',,,,,,,,,,,,,,,,
AIED Genova ,Genova(GE) - Via Cesarea 37 / E / R 87 ' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcigay Genova– Approdo Lilia Mulas A.P.S. ,"Genova(GE) - Via del Lagaccio, 92 R 26 ' ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Centro Psichiatria Forense dedicato alla disforia di genere, Dipartimento di Salute Mentale e Dipendenze, ASL 3, Genova","Genova (GE) - Via Giovanni Maggio, 3 82' ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genova Gaya ,"Genova(GE) - Salita Superiore della Noce, 27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lombardia 75 ',,,,,,,,,,,,,,,,
"Arcigay Orlando Brescia, Gruppo persone T ""La fenice""","Brescia(BS) - Via Valerio Paitone, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ala Milano Sportello Trans ,"Milano(MI) - Via Boifava, 60 / A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associazione per la cultura e l' etica transgenere ,"Milano(MI) - Via Soperga 36 c / o Associazione""ll Guado""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASST Grande Ospedale Metropolitano Niguarda - Centro per l ' adeguamento di genere ,"Milano(MI) - Piazza Ospedale Maggiore, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro di iniziativa Gay - Arcigay Milano,"Milano (MI) - Via Bezzecca, 3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circolo Culturale TBIGL + “Alessandro Rizzo Lari” ,"Milano(MI) - Via Soperga, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istituto Auxologico Italiano,"Milano (MI) - Via Ariosto, 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sportello trans ""Hande Kader""presso Arcigay Mantova ","Mantova(MN) - Via Fratelli Bandiera, 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coming - Aut LGBTI + Community Center APS ,"Pavia(PV) - Corso Garibaldi, 20 N ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcigay Varese ,"Varese(VA) - Via Bernardino Luini, 15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Piemonte 80 ' ,,,,,,,,,,,,,,,,
Ospedale Santa Croce,"Moncalieri (TO) - Piazza Amedeo Ferdinando, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASL città di Torino ,"Torino(TO) - Via Gorizia, 114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associazione Maurice GLBT - Spo.T Sportello Trans,"Torino (TO) - Via Stampatori, 10 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centro Interdipartimentale Disforia di Genere Molinette(CIDIGEM) - AOU Città della Salute e della Scienza di Torino ,"Torino(TO) - Via Cavour, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunderam Identità Transgender Torino ,"Torino(TO) - Via Como, 18 / 1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Puglia 33' ,,,,,,,,,,,,,,,,
"Day Hospital per i Disturbi dell 'identità di genere, AOU Policlinico Bari","Bari (BA) - Piazza Giulio Cesare, 11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEST - Centro Salute Trans e Gender Variant ,"Massafra(TA) - Via P.Maroncelli, 102 51 '",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tgenus Magna Grecia ,"Taranto(TA) - Via Fiume, 3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Sardegna 52' ,,,,,,,,,,,,,,,,
"UOC Clinica Psichiatrica, AOU Cagliari ","Cagliari(CA) - Via Liguria, 13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UOC Endocrinologia, Presidio Ospedaliero Duilio Casula Monserrato, AOU Cagliari",Cagliari (CA) - S.S. 554 bivio per Sestu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Sicilia 54' ,,,,,,,,,,,,,,,,
"UOC Endocrinologia ARNAS ""Garibaldi""- PO Nesima ","Catania(CT) - Via Palermo, 626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AOU Policlinico ""Paolo Giaccone""","Palermo(PA) - Via del Vespro, 129 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcigay Palermo ,"Palermo(PA) - Via Carmelo Trasselli, 33 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinica del Mediterraneo,"Ragusa (RG) - Via E. Fieramosca, 100 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Toscana ,,,,,,,,,,,,,,,,
Intersexioni ,"Firenze(FI) - Via Leto Casini, 11 c / o Ex Fila ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rete Genitori Rainbow ,"Firenze(FI) - Via Palazzuolo, 8 c / o Anelli Mancanti 20 '",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOD Andrologia, Endocrinologia Femminile, Incongruenza di Genere, AOU Careggi, Firenze ","Firenze(FI) - Viale Pieraccini, 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associazione Consultorio Transgenere,"Torre del Lago (LU) - Via dell' Aquila, 27 / 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azienda Ospedaliero Universitaria Pisana (AOUP),"Pisa (PI) - Via Paradisa, 2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movimento Pansessuale Arcigay Siena ,"Siena(SI) - Via di Città, 101 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Trentino Alto Adige ,,,,,,,,,,,,,,,,
Azienda Provinciale Servizi Sanitari Trento - Distretto Centro Nord ,"Trento(TN) - Via De Gasperi, 79 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Umbria,,,,,,,,,,,,,,,,
OMPHALOS LGBTI ,"Perugia(PG) - Via della Pallotta, 42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Veneto 19',,,,,,,,,,,,,,,,
Boramosa ,"Padova(PD) - Corso Garibaldi, 41 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAT PINK,"Padova (PD) - Corso Garibaldi, 41 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcigay Vicenza,"Vicenza (VI) - Contrà Barche, 55 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consultori familiari - Distretto Est - ULSS8 Berica - Regione Veneto ,"Vicenza(VI) - Contrà SS Apostoli, 21 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.a.G.a Vicenza,"Vicenza (VI) - Contrà Barche, 55 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azienda Ospedaliera Universitaria Integrata - Verona,"Verona (VR) - Piazzale A. Stefani, 1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAT PINK ,Verona(VR) - Piazza Pozza 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
