Anno;Codice Regione;Descrizione Regione;Codice ASL territoriale;Codice Azienda;Denominazione Azienda;Codice struttura;Denominazione struttura;Tipo rapporto con il S.S.N.;Indirizzo;CAP;Codice Comune;Comune;Sigla provincia;num_telefono;sito_web
2019;010;PIEMONTE;203;203;TO3;040250;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA ROMA 41;10061;001070;CAVOUR;TO;0121235978;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040252;CONSULTORIO M.I. E PEDIATRICO;Pubblico;STRADALE FENESTRELLE 72;10064;001191;PINEROLO;TO;0121235144;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040253;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA ROMA 15;10060;001002;AIRASCA;TO;0121235952;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040254;CONSULTORIO M.I. - VIGONE;Pubblico;VIA LUISIA 8;10067;001299;VIGONE;TO;0121235931;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;040728;CONSULTORIO M. I. E PEDIATRICO;Pubblico;VIA PHILIPS 2;10091;001008;ALPIGNANO;TO;0119551681;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041031;CONSULTORIO M.I. E PEDIATRICO;Pubblico;VIA RIBET MAGGIORE 2;10063;001198;POMARETTO;TO;0121233466;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041268;CONSULTORIO M.I. E PEDIARICO -;Privato accreditato;VIA BARRACLOUGH FELL JOHN 5;10059;001270;SUSA;TO;0122621489;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041269;CONSULTORIO PEDIATRICO VENARIA;Pubblico;PIAZZA DELL' ANNUNZIATA 4;10078;001292;VENARIA REALE;TO;0114991338;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041270;CONSULTORIO PEDIATRICO TORRE P;Pubblico;VIA GAY MATTEO 34;10066;001275;TORRE PELLICE;TO;3355805695;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041271;P.G. CONSULTORIO ADOLESCENTI P;Pubblico;VIA BIGNONE ETTORE 40;10064;001191;PINEROLO;TO;3315764439;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041324;P.G. PUNTO GIOVANI E CONSULTOR;Privato accreditato;VIA TRAFORO 62;10053;001044;BUSSOLENO;TO;012248196;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041342;P.G. CONSULTORIO GIOVANI VENAR;Pubblico;VIA LEONARDO DA VINCI 50;10078;001292;VENARIA REALE;TO;3204357778;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041374;P.G. CON GIO + M.I. E PEDIATRI;Privato accreditato;VIA PIAVE 19;10098;001219;RIVOLI;TO;0119551941;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;203;203;TO3;041384;P.G. CONSULT GIOVANI + CONSULT;Pubblico;VIA SEMINARIO 45;10094;001115;GIAVENO;TO;0119360261;WWW.ASLTO3.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;001221;POLIAMBULATORIO COMUNITA' IVRE;Pubblico;VIA GINZBURG NATALIA 7;10015;001125;IVREA;TO;01254142706;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040113;CONSULTORIO FAM. E PED. CASELL;Pubblico;VIA SAVONAROLA GIROLAMO 12;10072;001063;CASELLE TORINESE;TO;0119976701;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040114;CONSULTORIO FAM. E PED. BORGAR;Pubblico;VIA SANTI COSMA E DAMIANO 1;10071;001028;BORGARO TORINESE;TO;0114211609;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040116;CONSULTORIO PEDIATRICO - NOLE;Pubblico;PIAZZA VITTORIO EMANUELE 16;10076;001166;NOLE;TO;0119295305;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040119;CONSULTORIO FAM. E PED. CIRIE';Pubblico;VIA MAZZINI GIUSEPPE 13;10073;001086;CIRIE';TO;0119217619;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040130;CONSULTORIO FAM.E PED. LANZO;Pubblico;VIA BOCCIARELLI 2;10074;001128;LANZO TORINESE;TO;0123301711;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040139;CONSULTORIO MAT. INFANT.- ADOL;Pubblico;VIA SANTA CRISTINA 3;10036;001265;SETTIMO TORINESE;TO;01181121;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040141;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA TEMPIA 2;10032;001034;BRANDIZZO;TO;0119138093;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040144;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA BOLONGARA 20;13044;002049;CRESCENTINO;VC;0161833811;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040151;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA CAVOUR 3;10088;001314;VOLPIANO;TO;0119823702;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040162;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA SPERANZA 31;10099;001249;SAN MAURO TORINESE;TO;01183121;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040207;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA PIAVE 13;10086;001217;RIVAROLO CANAVESE;TO;012429043;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040212;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA TRUCHETTI B. 24;10084;001107;FORNO CANAVESE;TO;012477844;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040214;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA ROMA 22;10014;001047;CALUSO;TO;0119833225;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040216;CONSULTORIO MATERNO INFANTILE;Pubblico;STRADA STATALE 26 DELLA VALLE;10010;001266;SETTIMO VITTONE;TO;0125414497;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040218;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA COTONIFICIO 57;10019;001269;STRAMBINO;TO;0125414631;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040220;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA GARIBALDI GIUSEPPE 14;10080;001312;VISTRORIO;TO;0125414498;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040223;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZALE NENNI PIETRO ONOREVOL;10081;001066;CASTELLAMONTE;TO;0124516792;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040225;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA COSSAVELLA PIETRO 36;10012;001027;BOLLENGO;TO;0125414493;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040227;CONSULTORIO MATERNO INFANTILE;Pubblico;VICOLO LOMAGLIO 1;10010;001004;ALBIANO D'IVREA;TO;0125414488;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040230;CONSULTORIO PEDIATRICO - IVREA;Pubblico;VIA GOBETTI PIERO 19/A;10015;001125;IVREA;TO;0125414447;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040233;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA SAMONE 24;10010;001020;BANCHETTE;TO;0125414530;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040238;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA GINO VIANO 1;10082;001098;CUORGNE';TO;0124654174;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;040595;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA FORATELLA 22;10090;001112;GASSINO TORINESE;TO;0119817111;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;041111;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA VOLPIANO 38;10040;001130;LEINI;TO;0119971450;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;041253;CONSULTORIO ADOLESCENTI CHIVAS;Pubblico;VIA PO 11;10034;001082;CHIVASSO;TO;3353097362;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;041373;CONSULTORIO VIA BLATTA;Pubblico;VIA BLATTA 10;10034;001082;CHIVASSO;TO;0119176610;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;204;204;TO4;041458;CONSULTORI- AMBULATORI VIA TOG;Pubblico;VIA TOGLIATTI PALMIRO 1;10034;001082;CHIVASSO;TO;0119176202;WWW.ASLTO4.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040166;CONSULTORIO FAMILIARE DI CARIG;Pubblico;VIA CARA DE CANONICA 6;10041;001058;CARIGNANO;TO;0119697225;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040167;CONSULTORIO FAMILIARE DI CARMA;Pubblico;VIA FERRERO AVVOCATO 24;10022;001059;CARMAGNOLA;TO;0119723182;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040173;CONSULTORIO FAMILIARE DI CHIER;Pubblico;PIAZZA PELLICO SILVIO 1;10023;001078;CHIERI;TO;01194293803;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040174;CONSULTORIO FAMILIARE DI LA LO;Pubblico;VIA IV NOVEMBRE 6;10040;001127;LA LOGGIA;TO;0119629890;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040178;CONSULTORIO FAMILIARE DI CASTE;Pubblico;VIA MORO ALDO 2;14022;005031;CASTELNUOVO DON BOSCO;AT;0119876128;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040179;CONSULTORIO FAMILIARE DI POIRI;Pubblico;VIA INDIPENDENZA 84;10046;001197;POIRINO;TO;0119451288;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040184;CONSULTORIO FAMILIARE DI SANTE;Pubblico;VIA MILITE IGNOTO 32;10026;001257;SANTENA;TO;0119492263;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040190;CONSULTORIO FAMILIARE DI NICHE;Pubblico;VIA DEBOUCHE' 8;10042;001164;NICHELINO;TO;01168061;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040193;CONSULTORIO FAMILIARE DI VINOV;Pubblico;VIA ROMA 4;10048;001309;VINOVO;TO;0119652797;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040195;CONSULTORIO FAMILIARE DI NONE;Pubblico;VIA BECCARIA 3;10060;001168;NONE;TO;0119865492;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040197;CONSULTORIO FAMILIARE DI CANDI;Pubblico;VIA PIO V PAPA 32;10060;001051;CANDIOLO;TO;01168020611;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040200;CONSULTORIO FAMILIARE DI MONCA;Pubblico;VIA VITTIME DI BOLOGNA 20;10024;001156;MONCALIERI;TO;01168241;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;040202;CONSULTORIO FAMILIARE DI TROFA;Pubblico;VIA CESARE BATTISTI 25;10028;001280;TROFARELLO;TO;0116930436;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;205;205;TO5;041371;CONSULTORIO FAMILIARE DI PANCA;Pubblico;VIA VITTORIO VENETO 4;10060;001178;PANCALIERI;TO;01119885893;WWW.ASLTO5.PIEMONTE.IT
2019;010;PIEMONTE;206;206;VC;041020;CONSULTORIO COGGIOLA;Pubblico;VIA GARIBALDI GIUSEPPE 97;13863;096019;COGGIOLA;BI;01578354;WWW.ASLVC.PIEMONTE.IT
2019;010;PIEMONTE;206;206;VC;041022;CONSULTORIO SANTHIA';Pubblico;VIA MATTEOTTI GIACOMO 24;13048;002133;SANTHIA';VC;0161929205;WWW.ASLVC.PIEMONTE.IT
2019;010;PIEMONTE;206;206;VC;041024;CONSULTORIO GATTINARA;Pubblico;CORSO VERCELLI 159;13045;002061;GATTINARA;VC;0163822111;WWW.ASLVC.PIEMONTE.IT
2019;010;PIEMONTE;206;206;VC;041239;CONSULTORIO VARALLO;Pubblico;VIA GIPPA GIAN BATTISTA 5;13019;002156;VARALLO;VC;016352606;WWW.ASLVC.PIEMONTE.IT
2019;010;PIEMONTE;206;206;VC;041290;CONSULTORIO BORGOSESIA - C.NE;Pubblico;VIA ILORINI MO A. F. 20;13011;002016;BORGOSESIA;VC;0163426111;WWW.ASLVC.PIEMONTE.IT
2019;010;PIEMONTE;206;206;VC;041414;CONSULTORIO VERCELLI;Pubblico;LARGO GIUSTI GIUSEPPE 13;13100;002158;VERCELLI;VC;01615931111;
2019;010;PIEMONTE;207;207;BI;040302;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA MAFFEI PIETRO 59;13836;096020;COSSATO;BI;0159899805;
2019;010;PIEMONTE;207;207;BI;040306;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA XXV APRILE 138/D;13835;096088;VALDILANA;BI;015777093;
2019;010;PIEMONTE;207;207;BI;040308;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA MARTIRI PARTIGIANI 9;13856;096077;VIGLIANO BIELLESE;BI;015512892;
2019;010;PIEMONTE;207;207;BI;041296;POLIAMBULATORIO VIA CARACCIO;Pubblico;VIA CARACCIO RODOLFO 26;13900;096004;BIELLA;BI;01535810951;
2019;010;PIEMONTE;207;207;BI;041431;CASA DELLA SALUTE DI COSSATO;Pubblico;VIA MAFFEI PIETRO 59;13836;096020;COSSATO;BI;0159899811;
2019;010;PIEMONTE;207;207;BI;041446;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA CARACCIO RODOLFO 4;13900;096004;BIELLA;BI;01515159351;
2019;010;PIEMONTE;208;208;NO;040314;CONS.FAM.E PEDIATRICO - ARONA;Pubblico;PIAZZA DE FILIPPI 2;28041;003008;ARONA;NO;0322516589;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040316;CONS.MATERNO INF. - GALLIATE;Pubblico;VIA VARZI ACHILLE 21;28066;003068;GALLIATE;NO;0321801227;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040317;CONS.MATERNO INF. - CAMERI;Pubblico;VIA NOVARA 45;28062;003032;CAMERI;NO;0321510695;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040320;CONS.MATERNO INF. - CERANO;Pubblico;VIA DI DIO ALFREDO 19;28065;003049;CERANO;NO;0321726615;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040322;CONS.FAMILIARE-NOVARA SUD;Pubblico;VIALE ROMA 7;28100;003106;NOVARA;NO;0321374459;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040326;CONS.FAM.-NOVARA NORD;Pubblico;VIA DI DIO FRATELLI 7;28100;003106;NOVARA;NO;0321374845;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040329;CONS.FAM.NOVARA EST;Pubblico;VIA CASORATI FELICE 68;28100;003106;NOVARA;NO;0321374825;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040332;CONSULTORIO - BIANDRATE;Pubblico;VIA GREPPI 9;28061;003018;BIANDRATE;NO;0321838325;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040342;CONSULTORIO PED.FAM. - OLEGGIO;Pubblico;VIA GRAMSCI ANTONIO 33;28047;003108;OLEGGIO;NO;0321992202;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040343;CONS.FAM.PED. - CASTELLETTO T.;Pubblico;VIA CADUTI PER LA LIBERTA' 20;28053;003043;CASTELLETTO SOPRA TICINO;NO;0331971377;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040344;CONS.FAMIGLIARE DI BORGOMANERO;Pubblico;VIA DON MINZONI 7;28021;003024;BORGOMANERO;NO;0322844634;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;040939;CONSULTORIO FAMILIARE - GHEMME;Pubblico;VIA CASTELLO 7;28074;003073;GHEMME;NO;0163841290;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;208;208;NO;041251;CONSULTORIO TRECATE;Pubblico;VIA RUGIADA 20;28069;003149;TRECATE;NO;0321786623;WWW.ASL.NOVARA.IT
2019;010;PIEMONTE;209;209;VCO;040348;CONSULTORIO VERBANIA;Pubblico;VIALE SANT'ANNA 83;28922;103072;VERBANIA;VB;0323541403;WWW.ASLVCO.IT
2019;010;PIEMONTE;209;209;VCO;040361;CONSULTORIO DOMODOSSOLA;Pubblico;VIA SCAPACCINO 47;28845;103028;DOMODOSSOLA;VB;0324491627;WWW.ASLVCO.IT
2019;010;PIEMONTE;209;209;VCO;040363;CONSULTORIO OMEGNA;Pubblico;VIA MAZZINI GIUSEPPE 96;28887;103050;OMEGNA;VB;0323868912;WWW.ASLVCO.IT
2019;010;PIEMONTE;209;209;VCO;041449;CASA DELLA SALUTE DI CREVOLADO;Pubblico;VIA SEMPIONE 72;28865;103025;CREVOLADOSSOLA;VB;0324491590;WWW.ASLVCO.IT
2019;010;PIEMONTE;209;209;VCO;041450;CASA DELLA SALUTE DI VERBANIA;Pubblico;VIALE SANT'ANNA 83;28922;103072;VERBANIA;VB;0323541480;
2019;010;PIEMONTE;209;209;VCO;041451;CASA DELLA SALUTE DI OMEGNA;Pubblico;VIA MAZZINI GIUSEPPE 96;28887;103050;OMEGNA;VB;0323868239;WWW.ASLVCO.IT
2019;010;PIEMONTE;210;210;CN1;040369;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA DEGLI ARTIGIANI 20;12100;004078;CUNEO;CN;0171450434;
2019;010;PIEMONTE;210;210;CN1;040375;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA PASUBIO 7;12025;004082;DRONERO;CN;0171908154;
2019;010;PIEMONTE;210;210;CN1;040376;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA DON VIALE RAIMONDO 2;12011;004025;BORGO SAN DALMAZZO;CN;0171267740;
2019;010;PIEMONTE;210;210;CN1;040398;CONSULTORIO MATERNO INFANTILE;Pubblico;PIAZZA BURGO WILLY 4;12039;004240;VERZUOLO;CN;017585126;
2019;010;PIEMONTE;210;210;CN1;040401;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA OSPEDALE 1;12032;004012;BARGE;CN;0175345366;
2019;010;PIEMONTE;210;210;CN1;040403;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA SALUZZO 109;12036;004180;REVELLO;CN;0175759360;
2019;010;PIEMONTE;210;210;CN1;040404;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA ARSANTO COSTANZO 1;12020;004237;VENASCA;CN;0175567070;
2019;010;PIEMONTE;210;210;CN1;040406;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA TORINO 143;12038;004215;SAVIGLIANO;CN;0172240627;
2019;010;PIEMONTE;210;210;CN1;040410;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA CESARE BATTISTI 40;12045;004089;FOSSANO;CN;699244;
2019;010;PIEMONTE;210;210;CN1;040683;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA SPIELBERG 58;12037;004203;SALUZZO;CN;0175215235;
2019;010;PIEMONTE;210;210;CN1;041262;CONSULTORIO MATERNO INFANTILE;Pubblico;STRADA DI SAN ROCCHETTO 99;12084;004130;MONDOVI';CN;0174550175;
2019;010;PIEMONTE;210;210;CN1;041263;CONSULTORIO MATERNO INFANTILE;Pubblico;VIA XX SETTEMBRE 3;12073;004066;CEVA;CN;0174723894;
2019;010;PIEMONTE;210;210;CN1;041264;CONSULTORIO MATERNO INFANTILE;Pubblico;CORSO PAOLINI 11;12075;004095;GARESSIO;CN;017481084;
2019;010;PIEMONTE;211;211;CN2;040412;CONSULTORIO FAMILIARE DI BRA;Pubblico;VIA GOITO 1;12042;004029;BRA;CN;0172420423;WWW.ASLCN2.IT
2019;010;PIEMONTE;211;211;CN2;040483;CONSULTORIO FAMILIARE ALBA;Pubblico;VIA DIAZ ARMANDO GENERALE 3;12051;004003;ALBA;CN;0173316145;WWW.ASLCN2.IT
2019;010;PIEMONTE;212;212;AT;040487;CONSULTORIO ASTI CENTRO;Pubblico;VIA BARACCA FRANCESCO 6;14100;005005;ASTI;AT;0141482081;WWW.ASL.AT.IT
2019;010;PIEMONTE;212;212;AT;040498;CONSULTORIO ASTI SUD;Pubblico;PIAZZA GARIBALDI GIUSEPPE 17;14049;005080;NIZZA MONFERRATO;AT;0141782413;WWW.ASL.AT.IT
2019;010;PIEMONTE;212;212;AT;041028;CONSULTORIO ASTI NORD;Pubblico;VIA DE AMICIS EDMONDO 1;14019;005118;VILLANOVA D'ASTI;AT;0141948065;WWW.ASL.AT.IT
2019;010;PIEMONTE;213;213;AL;040505;CONSULTORIO TORTONA;Pubblico;VIA MILAZZO 1;15057;006174;TORTONA;AL;0131865212;
2019;010;PIEMONTE;213;213;AL;040511;CONSULTORIO ACQUI TERME;Pubblico;VIA ALESSANDRIA 1;15011;006001;ACQUI TERME;AL;0144777481;
2019;010;PIEMONTE;213;213;AL;040517;CONSULTORIO OVADA;Pubblico;VIA XXV APRILE 22;15076;006121;OVADA;AL;0143826608;
2019;010;PIEMONTE;213;213;AL;040524;CONSULTORIO NOVI LIGURE;Pubblico;VIA GIOVANNI XXIII PAPA 1;15067;006114;NOVI LIGURE;AL;0143332640;
